id,latitude,longitude
1365,-77.0216121593,38.9035084546
1366,-77.0187041936,38.9028150429
1367,-77.0221266931,38.9139317336
1368,-77.0216526528,38.9153729758
1369,-77.0187803285,38.9397712275
1370,-77.0218300424,38.9562133276
1371,-77.013441409,38.8932552827
1372,-77.0123648144,38.9127551542
1373,-77.0119103469,38.8965144958
1374,-77.0117033531,38.8953676618
1375,-77.0106837539,38.8953896498
1376,-77.0095983305,38.8953971309
1377,-77.0119012693,38.9084361531
1378,-77.0080243248,38.906245834
1379,-77.0087295984,38.9225242951
1380,-77.0061791287,38.8975384698
1381,-77.0017935112,38.9073800665
1382,-77.0017870076,38.9054990335
1383,-76.9986388134,38.902769869
1384,-76.9998016868,38.9101828463
1385,-76.9991571738,38.9097557579
1386,-76.9998903367,38.9196416873
1387,-76.9947140721,38.8971712427
1388,-76.9949297208,38.9057756736
1389,-76.9959257534,38.9254107255
1390,-77.0798148669,38.9284282625
1391,-77.0752819567,38.9122032176
1392,-77.0790823033,38.9476653513
1393,-77.0704122679,38.9063258755
1394,-77.0723883649,38.9211969848
1395,-77.0728814087,38.9220522892
1396,-77.0731017039,38.9336769321
1397,-77.0728295406,38.9337069195
1398,-77.0702882785,38.9551797266
1399,-77.0666690523,38.9048198031
1400,-77.0656510341,38.9053102538
1401,-77.0676766745,38.9116136799
1402,-77.0651650739,38.9113561178
1403,-77.0667144956,38.914331689
1404,-77.063113572,38.9027976908
1405,-77.0625650112,38.9046062328
1406,-77.0613679775,38.9044910203
1407,-77.0608684076,38.9036549461
1408,-77.0590369544,38.9050595675
1409,-77.0638002579,38.9061932868
1410,-77.0638002579,38.9061932868
1411,-77.0636421952,38.9076175931
1412,-77.0620287985,38.9053997943
1413,-77.0554946021,38.8996437684
1414,-77.0547098519,38.8991538135
1415,-77.0572436666,38.9046911175
1416,-77.0575601888,38.9054704547
1417,-77.0574234603,38.9054784493
1418,-77.0555654293,38.9298924655
1419,-77.0587084514,38.9363860072
1420,-77.0574247888,38.9344808487
1421,-77.0572131957,38.9341139542
1422,-77.0511414177,38.8965265195
1423,-77.0506779649,38.8967920178
1424,-77.0522726288,38.9029826709
1425,-77.0522726288,38.9029826709
1426,-77.0511236889,38.9057284749
1427,-77.0515158934,38.9242234061
1428,-77.0509184197,38.9237457765
1429,-77.0481478796,38.8971470266
1430,-77.0472097894,38.9010347876
1431,-77.0459252254,38.901636067
1432,-77.0438675131,38.9016399206
1433,-77.0485017037,38.90551087
1434,-77.0484899816,38.9060748877
1435,-77.0446397989,38.9069732034
1436,-77.0437667848,38.9080778669
1437,-77.0483408967,38.90979891
1438,-77.0455693458,38.9094021252
1439,-77.0438160847,38.9108176462
1440,-77.0461533839,38.9137682388
1441,-77.0427653519,38.9009953309
1442,-77.0402334102,38.9010501002
1443,-77.0402334102,38.9010501002
1444,-77.0403500838,38.9035074493
1445,-77.0426400999,38.9059192528
1446,-77.0419693149,38.9062788387
1447,-77.0411785587,38.9065345068
1448,-77.0424751731,38.9098845168
1449,-77.0418525965,38.9152445229
